,Gender,Age,Figure,Job,Heavy:Light,Passive:Active,Cold:Warm,Dirty:Clean,Traditional:Modern,Plain: Gaudy,Tense:Relaxed,FatL:SlimL,Masculine:Feminine,HMatch:EMatch,Dislike:Like,Group
0,女,18~25,偏胖的,行銷企劃,1,3,2,1,2,3,-2,1,3,-2,-2,0
1,女,18~25,偏胖的,設計師,-2,3,3,1,1,2,-1,-3,3,-3,-3,0
2,女,18~25,偏瘦的,学生,2,2,2,3,3,-2,3,2,3,3,3,0
3,女,18~25,均匀的,财务会计,1,-1,1,3,1,-1,2,-1,1,2,1,0
4,女,18~25,均匀的,学生,3,3,-1,3,1,2,3,3,1,3,3,0
5,女,26~30,均匀的,設計,1,-3,3,1,2,2,2,-1,-1,-1,1,0
6,女,26~30,偏胖的,服装,2,2,1,3,2,1,-1,1,-1,1,-1,0
7,女,26~30,均匀的,教师,3,2,-2,2,-3,-3,3,1,1,3,1,0
8,女,26~30,均匀的,医师,2,2,-1,3,-1,-2,2,-2,1,3,3,0
9,女,26~30,偏胖的,医学,1,2,1,3,-3,-3,-2,-3,2,1,1,0
10,女,26~30,均匀的,服装,1,2,-1,-2,2,2,-1,-1,2,-3,-2,0
11,女,26~30,均匀的,服装设计,-1,2,1,-1,2,2,1,-2,-3,-2,-3,0
12,女,26~30,均匀的,纺织研究助理,1,3,2,2,1,2,1,-1,-3,-1,-2,0
13,女,31~40,偏瘦的,(空),-2,2,2,1,-1,1,-1,-1,2,1,1,0
14,女,31~40,均匀的,(空),1,1,3,1,2,2,2,1,3,-1,1,0
15,女,31~40,均匀的,教师,-1,1,1,1,-1,1,-1,1,-2,2,1,0
16,女,31~40,偏胖的,教育,-2,3,2,1,-1,2,-2,1,2,1,1,0
17,男,18~25,均匀的,master of school of architecture,1,-2,1,2,-1,1,-2,-1,-2,-2,-2,0
18,男,18~25,偏瘦的,广告,2,1,1,-3,-3,-3,2,-3,3,-3,-3,0
19,男,18~25,均匀的,学生,2,2,2,2,1,-1,-1,1,2,-1,-2,0
20,男,18~25,均匀的,学生,1,3,1,1,1,-1,1,1,1,1,1,0
21,男,18~25,均匀的,学生,1,3,1,1,-1,1,2,-1,-2,3,3,0
22,男,18~25,均匀的,学生,3,1,1,3,-1,-1,3,1,-1,3,1,0
23,男,18岁以下,偏瘦的,本科在校学生,3,1,3,3,3,1,3,3,-3,3,3,0
24,男,26~30,偏胖的,学生,1,2,1,2,3,3,-1,-1,2,-1,3,0
25,男,26~30,均匀的,颜色科学,3,2,3,3,3,3,3,3,3,1,3,0
26,男,26~30,偏胖的,(空),1,3,-1,3,-1,-1,-1,-1,-1,2,1,0
27,男,26~30,偏瘦的,design master,2,2,2,-1,2,2,-2,1,2,-1,1,0
28,男,31~40,偏胖的,工业设计,2,2,2,1,2,2,1,1,3,-2,-3,0
29,男,31~40,偏胖的,教師,1,2,2,2,2,2,1,1,1,-1,1,0
30,男,31~40,偏胖的,(空),2,3,2,2,2,3,-2,2,2,-1,1,0
31,男,31~40,偏胖的,design phd,-1,2,2,3,1,1,1,-1,2,1,-1,0
32,男,31~40,偏胖的,(空),1,2,2,2,2,1,2,1,2,-1,1,0
33,男,41~50,均匀的,教师,1,3,1,1,-1,-1,-2,-1,2,-3,-2,0
34,女,18~25,偏胖的,行銷企劃,-2,-3,-1,-3,-2,-2,-2,-2,3,-3,1,1
35,女,18~25,偏胖的,設計師,-2,2,-1,-3,-2,-1,-3,-3,3,-3,-3,1
36,女,18~25,偏瘦的,学生,1,-2,-1,3,3,-1,1,3,-3,3,3,1
37,女,18~25,均匀的,财务会计,-2,-2,-2,3,-2,-2,-1,1,-1,-1,-1,1
38,女,18~25,均匀的,学生,-1,-1,-2,-1,1,1,-1,-1,-1,2,-2,1
39,女,26~30,均匀的,設計,-3,1,-1,-2,1,1,-2,-1,-1,-2,-3,1
40,女,26~30,偏胖的,服装,-1,-2,-1,2,2,1,1,1,1,-2,2,1
41,女,26~30,均匀的,教师,-1,-2,-1,-1,-2,-2,-1,2,-2,2,1,1
42,女,26~30,均匀的,医师,-2,-1,-1,-1,-2,-2,-1,2,-2,2,-1,1
43,女,26~30,偏胖的,医学,1,-3,1,2,2,-1,1,1,1,1,1,1
44,女,26~30,均匀的,服装,-1,-1,1,1,1,-1,1,-1,-2,-1,-1,1
45,女,26~30,均匀的,服装设计,-1,-2,1,-2,1,-1,-1,-1,-1,-3,-3,1
46,女,26~30,均匀的,纺织研究助理,-1,2,1,-2,-1,-1,-2,-2,-3,-2,-2,1
47,女,31~40,偏瘦的,(空),-3,3,-3,-2,-1,1,-3,1,-3,1,-3,1
48,女,31~40,均匀的,(空),-1,-2,-1,1,2,1,1,-1,1,-2,-1,1
49,女,31~40,均匀的,教师,-2,-1,-2,-1,1,1,-1,-1,-2,-1,-1,1
50,女,31~40,偏胖的,教育,-2,-2,2,-3,-2,-3,-1,1,2,-1,-1,1
51,男,18~25,均匀的,master of school of architecture,-2,-2,-1,-2,-1,-2,-1,1,2,-2,-1,1
52,男,18~25,偏瘦的,广告,-1,1,-2,-2,1,1,-2,-2,2,-3,-3,1
53,男,18~25,均匀的,学生,-1,-1,-1,1,-1,-1,2,1,1,-1,-2,1
54,男,18~25,均匀的,学生,1,-1,1,1,1,1,1,1,-1,1,1,1
55,男,18~25,均匀的,学生,1,-1,-1,-2,1,-1,1,3,-2,3,3,1
56,男,18~25,均匀的,学生,-2,-2,-2,-2,-2,-3,1,1,-3,-1,-1,1
57,男,18岁以下,偏瘦的,本科在校学生,2,-1,2,2,1,1,2,3,2,2,3,1
58,男,26~30,偏胖的,学生,-1,-1,1,1,2,2,1,-1,-1,2,2,1
59,男,26~30,均匀的,颜色科学,-2,2,-2,-2,-3,-3,-1,-2,-2,-2,-2,1
60,男,26~30,偏胖的,(空),-1,2,-1,2,1,-1,-1,1,-1,1,1,1
61,男,26~30,偏瘦的,design master,-2,-1,2,1,-1,-2,2,1,-2,2,2,1
62,男,31~40,偏胖的,工业设计,-3,1,1,-2,-3,-2,-1,-1,1,-2,-2,1
63,男,31~40,偏胖的,教師,-1,-1,1,-2,-1,-2,-1,2,-1,-1,1,1
64,男,31~40,偏胖的,(空),1,-3,1,-1,-1,1,-1,-2,1,2,-2,1
